Bevölkerung*) insgesamt im Bundesländervergleich 2012 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.541;7.804;74,0;2.737;26,0;1.758;16,7
Bayern;12.480;10.112;81,0;2.368;19,0;1.622;13,0
Berlin;3.348;2.535;75,7;813;24,3;535;16,0
Brandenburg;2.451;2.333;95,2;118;4,8;87;3,5
Bremen;653;470;72,0;182;27,9;120;18,4
Hamburg;1.726;1.263;73,2;463;26,8;308;17,8
Hessen;6.005;4.432;73,8;1.572;26,2;1.028;17,1
Mecklenburg-Vorpommern;1.603;1.537;95,9;66;4,1;53;3,3
Niedersachsen;7.778;6.480;83,3;1.299;16,7;878;11,3
Nordrhein-Westfalen;17.547;13.418;76,5;4.129;23,5;2.611;14,9
Rheinland-Pfalz;3.990;3.235;81,1;755;18,9;503;12,6
Saarland;996;831;83,4;165;16,6;110;11,0
Sachsen;4.049;3.883;95,9;166;4,1;128;3,2
Sachsen-Anhalt;2.267;2.178;96,1;89;3,9;71;3,1
Schleswig-Holstein;2.804;2.472;88,2;332;11,8;226;8,1
Thüringen;2.175;2.094;96,3;82;3,8;63;2,9
Deutschland;80.413;65.077;80,9;15.336;19,1;10.102;12,6
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2012 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.172;3.809;73,6;1.363;26,4;855;16,5
Bayern;6.119;4.933;80,6;1.186;19,4;791;12,9
Berlin;1.630;1.220;74,8;411;25,2;262;16,1
Brandenburg;1.206;1.150;95,4;56;4,6;39;3,2
Bremen;318;223;70,1;95;29,9;60;18,9
Hamburg;836;604;72,2;232;27,8;152;18,2
Hessen;2.935;2.153;73,4;782;26,6;499;17,0
Mecklenburg-Vorpommern;790;755;95,6;34;4,3;26;3,3
Niedersachsen;3.809;3.159;82,9;650;17,1;429;11,3
Nordrhein-Westfalen;8.533;6.463;75,7;2.070;24,3;1.263;14,8
Rheinland-Pfalz;1.953;1.575;80,6;378;19,4;242;12,4
Saarland;484;403;83,3;81;16,7;53;11,0
Sachsen;1.977;1.893;95,8;84;4,2;65;3,3
Sachsen-Anhalt;1.108;1.062;95,8;46;4,2;37;3,3
Schleswig-Holstein;1.364;1.203;88,2;161;11,8;106;7,8
Thüringen;1.070;1.029;96,2;41;3,8;33;3,1
Deutschland;39.304;31.634;80,5;7.670;19,5;4.912;12,5
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2012 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.370;3.996;74,4;1.374;25,6;904;16,8
Bayern;6.361;5.179;81,4;1.182;18,6;831;13,1
Berlin;1.718;1.316;76,6;402;23,4;273;15,9
Brandenburg;1.245;1.183;95,0;62;5,0;48;3,9
Bremen;335;248;74,0;87;26,0;60;17,9
Hamburg;890;659;74,0;231;26,0;156;17,5
Hessen;3.069;2.279;74,3;790;25,7;529;17,2
Mecklenburg-Vorpommern;814;782;96,1;32;3,9;28;3,4
Niedersachsen;3.970;3.321;83,7;649;16,3;449;11,3
Nordrhein-Westfalen;9.014;6.955;77,2;2.060;22,9;1.348;15,0
Rheinland-Pfalz;2.037;1.660;81,5;377;18,5;261;12,8
Saarland;512;428;83,6;84;16,4;57;11,1
Sachsen;2.072;1.990;96,0;82;4,0;63;3,0
Sachsen-Anhalt;1.159;1.116;96,3;43;3,7;35;3,0
Schleswig-Holstein;1.440;1.269;88,1;171;11,9;120;8,3
Thüringen;1.105;1.065;96,4;40;3,6;30;2,7
Deutschland;41.109;33.442;81,3;7.666;18,6;5.191;12,6
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
