Bevölkerung*) insgesamt im Bundesländervergleich 2014 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.666;7.773;72,9;2.893;27,1;1.871;17,5
Bayern;12.643;10.063;79,6;2.580;20,4;1.768;14,0
Berlin;3.443;2.532;73,5;911;26,5;614;17,8
Brandenburg;2.449;2.322;94,8;127;5,2;94;3,8
Bremen;659;469;71,2;189;28,7;130;19,7
Hamburg;1.762;1.265;71,8;497;28,2;341;19,4
Hessen;6.059;4.384;72,4;1.675;27,6;1.099;18,1
Mecklenburg-Vorpommern;1.594;1.526;95,7;68;4,3;55;3,5
Niedersachsen;7.799;6.442;82,6;1.357;17,4;920;11,8
Nordrhein-Westfalen;17.579;13.221;75,2;4.358;24,8;2.747;15,6
Rheinland-Pfalz;3.996;3.186;79,7;810;20,3;543;13,6
Saarland;989;814;82,3;174;17,6;118;11,9
Sachsen;4.045;3.841;95,0;204;5,0;158;3,9
Sachsen-Anhalt;2.238;2.138;95,5;99;4,4;76;3,4
Schleswig-Holstein;2.819;2.462;87,3;357;12,7;244;8,7
Thüringen;2.156;2.063;95,7;94;4,4;75;3,5
Deutschland;80.896;64.501;79,7;16.395;20,3;10.853;13,4
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2014 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.253;3.815;72,6;1.438;27,4;915;17,4
Bayern;6.222;4.922;79,1;1.300;20,9;861;13,8
Berlin;1.682;1.221;72,6;461;27,4;300;17,8
Brandenburg;1.205;1.143;94,9;62;5,1;44;3,7
Bremen;322;225;69,9;97;30,1;64;19,9
Hamburg;858;601;70,0;257;30,0;173;20,2
Hessen;2.972;2.135;71,8;837;28,2;539;18,1
Mecklenburg-Vorpommern;785;749;95,4;36;4,6;28;3,6
Niedersachsen;3.829;3.146;82,2;683;17,8;457;11,9
Nordrhein-Westfalen;8.568;6.383;74,5;2.186;25,5;1.344;15,7
Rheinland-Pfalz;1.961;1.553;79,2;409;20,9;264;13,5
Saarland;482;394;81,7;88;18,3;59;12,2
Sachsen;1.980;1.876;94,7;104;5,3;83;4,2
Sachsen-Anhalt;1.096;1.042;95,1;54;4,9;41;3,7
Schleswig-Holstein;1.374;1.200;87,3;174;12,7;116;8,4
Thüringen;1.062;1.014;95,5;48;4,5;38;3,6
Deutschland;39.651;31.420;79,2;8.231;20,8;5.327;13,4
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2014 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.413;3.958;73,1;1.455;26,9;956;17,7
Bayern;6.421;5.141;80,1;1.280;19,9;907;14,1
Berlin;1.762;1.311;74,4;451;25,6;314;17,8
Brandenburg;1.244;1.179;94,8;65;5,2;49;3,9
Bremen;336;244;72,6;93;27,7;66;19,6
Hamburg;904;664;73,5;240;26,5;168;18,6
Hessen;3.087;2.249;72,9;838;27,1;560;18,1
Mecklenburg-Vorpommern;809;777;96,0;32;4,0;26;3,2
Niedersachsen;3.970;3.296;83,0;675;17,0;463;11,7
Nordrhein-Westfalen;9.010;6.838;75,9;2.172;24,1;1.403;15,6
Rheinland-Pfalz;2.035;1.634;80,3;401;19,7;279;13,7
Saarland;507;420;82,8;87;17,2;59;11,6
Sachsen;2.065;1.965;95,2;100;4,8;76;3,7
Sachsen-Anhalt;1.142;1.096;96,0;46;4,0;35;3,1
Schleswig-Holstein;1.445;1.261;87,3;183;12,7;128;8,9
Thüringen;1.095;1.049;95,8;46;4,2;37;3,4
Deutschland;41.245;33.081;80,2;8.164;19,8;5.526;13,4
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
