GENESIS-Tabelle: 52311-0001
Gewerbeanzeigen: Bundesländer, Jahre;;;
Gewerbeanzeigenstatistik;;;
;;Gewerbeanmeldungen;Gewerbeabmeldungen
;;Anzahl;Anzahl
2022;Baden-Württemberg;93279;73794
2022;Bayern;113311;92948
2022;Berlin;40391;31541
2022;Brandenburg;18100;16132
2022;Bremen;6254;4363
2022;Hamburg;17935;13748
2022;Hessen;59491;53197
2022;Mecklenburg-Vorpommern;9832;8991
2022;Niedersachsen;63132;47708
2022;Nordrhein-Westfalen;139317;119469
2022;Rheinland-Pfalz;31493;27381
2022;Saarland;7373;6415
2022;Sachsen;26163;24164
2022;Sachsen-Anhalt;10862;10512
2022;Schleswig-Holstein;25716;21711
2022;Thüringen;10814;11056
__________
Gewerbeanzeigen: ohne Automatenaufsteller und Reisegewerbe
© Statistisches Bundesamt (Destatis), 2023
Stand: 22.12.2023 / 13:18:13
