Jahreszahl;Bundesland;Gewerbeanmeldungen
2011;Baden-Wuerttemberg;103630
2011;Bayern;143823
2011;Berlin;48716
2011;Brandenburg;20521
2011;Bremen;6296
2011;Hamburg;24495
2011;Hessen;77943
2011;Mecklenburg-Vorpommern;13081
2011;Niedersachsen;69670
2011;Nordrhein-Westfalen;169362
2011;Rheinland-Pfalz;39198
2011;Saarland;7798
2011;Sachsen;36331
2011;Sachsen-Anhalt;14677
2011;Schleswig-Holstein;29971
2011;Thueringen;15695
2012;Baden-Wuerttemberg;96089
2012;Bayern;131857
2012;Berlin;48072
2012;Brandenburg;18260
2012;Bremen;6101
2012;Hamburg;22618
2012;Hessen;72378
2012;Mecklenburg-Vorpommern;11330
2012;Niedersachsen;63021
2012;Nordrhein-Westfalen;156407
2012;Rheinland-Pfalz;36467
2012;Saarland;7264
2012;Sachsen;32364
2012;Sachsen-Anhalt;13378
2012;Schleswig-Holstein;27728
2012;Thueringen;14037
2013;Baden-Wuerttemberg;96905
2013;Bayern;129998
2013;Berlin;46212
2013;Brandenburg;18330
2013;Bremen;6208
2013;Hamburg;22743
2013;Hessen;71629
2013;Mecklenburg-Vorpommern;11570
2013;Niedersachsen;63526
2013;Nordrhein-Westfalen;158994
2013;Rheinland-Pfalz;36206
2013;Saarland;7267
2013;Sachsen;30995
2013;Sachsen-Anhalt;12688
2013;Schleswig-Holstein;27739
2013;Thueringen;14038
2014;Baden-Wuerttemberg;92014
2014;Bayern;125730
2014;Berlin;44924
2014;Brandenburg;18015
2014;Bremen;5740
2014;Hamburg;20264
2014;Hessen;63569
2014;Mecklenburg-Vorpommern;10833
2014;Niedersachsen;61661
2014;Nordrhein-Westfalen;154497
2014;Rheinland-Pfalz;35153
2014;Saarland;7107
2014;Sachsen;30073
2014;Sachsen-Anhalt;12513
2014;Schleswig-Holstein;27426
2014;Thueringen;12766
2015;Baden-Wuerttemberg;90907
2015;Bayern;122119
2015;Berlin;42124
2015;Brandenburg;17282
2015;Bremen;5311
2015;Hamburg;20162
2015;Hessen;63583
2015;Mecklenburg-Vorpommern;10483
2015;Niedersachsen;59793
2015;Nordrhein-Westfalen;152589
2015;Rheinland-Pfalz;34985
2015;Saarland;6925
2015;Sachsen;29652
2015;Sachsen-Anhalt;12031
2015;Schleswig-Holstein;26383
2015;Thueringen;12547
2016;Baden-Wuerttemberg;88461
2016;Bayern;115825
2016;Berlin;42443
2016;Brandenburg;17080
2016;Bremen;4194
2016;Hamburg;19798
2016;Hessen;61890
2016;Mecklenburg-Vorpommern;10152
2016;Niedersachsen;57247
2016;Nordrhein-Westfalen;150862
2016;Rheinland-Pfalz;33124
2016;Saarland;6721
2016;Sachsen;28177
2016;Sachsen-Anhalt;11562
2016;Schleswig-Holstein;25683
2016;Thueringen;12154
2017;Baden-Wuerttemberg;86322
2017;Bayern;115187
2017;Berlin;44839
2017;Brandenburg;17049
2017;Bremen;4318
2017;Hamburg;20105
2017;Hessen;60253
2017;Mecklenburg-Vorpommern;9700
2017;Niedersachsen;57968
2017;Nordrhein-Westfalen;147911
2017;Rheinland-Pfalz;31658
2017;Saarland;6531
2017;Sachsen;27095
2017;Sachsen-Anhalt;11268
2017;Schleswig-Holstein;25561
2017;Thueringen;11212
2018;Baden-Wuerttemberg;86040
2018;Bayern;114263
2018;Berlin;43923
2018;Brandenburg;17251
2018;Bremen;6816
2018;Hamburg;19879
2018;Hessen;58880
2018;Mecklenburg-Vorpommern;9540
2018;Niedersachsen;57609
2018;Nordrhein-Westfalen;142390
2018;Rheinland-Pfalz;31966
2018;Saarland;6733
2018;Sachsen;26741
2018;Sachsen-Anhalt;10759
2018;Schleswig-Holstein;24752
2018;Thueringen;11182
2019;Baden-Wuerttemberg;86785
2019;Bayern;113606
2019;Berlin;41756
2019;Brandenburg;17446
2019;Bremen;5740
2019;Hamburg;20454
2019;Hessen;60179
2019;Mecklenburg-Vorpommern;9747
2019;Niedersachsen;59600
2019;Nordrhein-Westfalen;144036
2019;Rheinland-Pfalz;31373
2019;Saarland;6931
2019;Sachsen;26736
2019;Sachsen-Anhalt;10924
2019;Schleswig-Holstein;26015
2019;Thueringen;11281
