Gewerbeanzeigen: Bundesländer, Jahre;;
Gewerbeanzeigenstatistik;;
Bundesländer;Gewerbeanmeldungen;Gewerbeabmeldungen
;Anzahl;Anzahl
2002;;
Baden-Württemberg;91310;84108
Bayern;120573;99972
Berlin;33875;29887
Brandenburg;20275;18194
Bremen;5025;4568
Hamburg;19416;14158
Hessen;61113;55965
Mecklenburg-Vorpommern;13914;14847
Niedersachsen;62032;54457
Nordrhein-Westfalen;151693;134664
Rheinland-Pfalz;36778;31558
Saarland;7853;7543
Sachsen;35681;34931
Sachsen-Anhalt;17258;18149
Schleswig-Holstein;27771;23928
Thüringen;18766;18761
2003;;
Baden-Württemberg;101975;86112
Bayern;133107;101071
Berlin;37374;29654
Brandenburg;24012;17058
Bremen;5822;4636
Hamburg;19992;13964
Hessen;67046;57612
Mecklenburg-Vorpommern;16236;14232
Niedersachsen;72099;56376
Nordrhein-Westfalen;170712;143085
Rheinland-Pfalz;39338;31896
Saarland;8761;7447
Sachsen;41951;32600
Sachsen-Anhalt;19644;16499
Schleswig-Holstein;31587;23654
Thüringen;21050;17227
2004;;
Baden-Württemberg;116463;88298
Bayern;158844;107010
Berlin;47158;30404
Brandenburg;30163;18245
Bremen;6912;5164
Hamburg;21914;13540
Hessen;79629;59454
Mecklenburg-Vorpommern;20407;14169
Niedersachsen;84472;59758
Nordrhein-Westfalen;201935;147225
Rheinland-Pfalz;46550;33579
Saarland;10209;7800
Sachsen;49171;32630
Sachsen-Anhalt;25071;17688
Schleswig-Holstein;36359;24336
Thüringen;25276;18346
2005;;
Baden-Württemberg;111044;89277
Bayern;149257;112183
Berlin;44015;32833
Brandenburg;26310;20755
Bremen;6197;5316
Hamburg;21931;14936
Hessen;78532;61902
Mecklenburg-Vorpommern;17200;14185
Niedersachsen;77461;60153
Nordrhein-Westfalen;188613;154507
Rheinland-Pfalz;43558;34593
Saarland;9582;8390
Sachsen;45386;35776
Sachsen-Anhalt;21615;18913
Schleswig-Holstein;32219;25984
Thüringen;22224;18550
2006;;
Baden-Württemberg;109218;90411
Bayern;146463;113657
Berlin;45762;32773
Brandenburg;25499;21279
Bremen;6625;5596
Hamburg;21955;14785
Hessen;76700;62492
Mecklenburg-Vorpommern;15465;13359
Niedersachsen;76736;60435
Nordrhein-Westfalen;186413;156128
Rheinland-Pfalz;44480;35490
Saarland;9216;7867
Sachsen;43736;35256
Sachsen-Anhalt;19908;17464
Schleswig-Holstein;32847;25816
Thüringen;20768;17373
2007;;
Baden-Württemberg;106566;90762
Bayern;142885;113734
Berlin;44290;32782
Brandenburg;23555;22040
Bremen;6407;5446
Hamburg;21918;14890
Hessen;77768;64525
Mecklenburg-Vorpommern;14666;13480
Niedersachsen;73703;60766
Nordrhein-Westfalen;180727;154119
Rheinland-Pfalz;41540;35043
Saarland;8788;7656
Sachsen;39038;34965
Sachsen-Anhalt;17868;16989
Schleswig-Holstein;30781;24926
Thüringen;18061;17007
2008;;
Baden-Württemberg;105476;94838
Bayern;143103;116132
Berlin;41143;31974
Brandenburg;23464;21773
Bremen;6156;5240
Hamburg;22781;16972
Hessen;75938;67453
Mecklenburg-Vorpommern;14588;14091
Niedersachsen;70636;62812
Nordrhein-Westfalen;175014;158905
Rheinland-Pfalz;40706;37126
Saarland;9047;8161
Sachsen;39526;36696
Sachsen-Anhalt;16622;16944
Schleswig-Holstein;31074;25523
Thüringen;18007;17635
2009;;
Baden-Württemberg;109124;92395
Bayern;150666;117850
Berlin;44951;33848
Brandenburg;23352;20513
Bremen;6603;5594
Hamburg;22250;17240
Hessen;78129;69066
Mecklenburg-Vorpommern;14039;13527
Niedersachsen;74910;61740
Nordrhein-Westfalen;182328;157065
Rheinland-Pfalz;42208;36182
Saarland;9366;7416
Sachsen;38630;35094
Sachsen-Anhalt;17137;16845
Schleswig-Holstein;32271;26623
Thüringen;18451;17320
2010;;
Baden-Württemberg;109833;93731
Bayern;150264;117107
Berlin;47300;31626
Brandenburg;22319;19803
Bremen;6424;5149
Hamburg;24632;16460
Hessen;79775;68273
Mecklenburg-Vorpommern;13373;12867
Niedersachsen;74805;59540
Nordrhein-Westfalen;179413;153861
Rheinland-Pfalz;41205;35202
Saarland;9034;7697
Sachsen;38200;34661
Sachsen-Anhalt;16533;15211
Schleswig-Holstein;32718;25984
Thüringen;17158;16640
2011;;
Baden-Württemberg;103630;91855
Bayern;143823;116208
Berlin;48716;33797
Brandenburg;20521;19371
Bremen;6296;4761
Hamburg;24495;17629
Hessen;77943;67284
Mecklenburg-Vorpommern;13081;12622
Niedersachsen;69670;59273
Nordrhein-Westfalen;169362;156357
Rheinland-Pfalz;39198;38770
Saarland;7798;7348
Sachsen;36331;33220
