Bevölkerung*) insgesamt im Bundesländervergleich 2011 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.494;7.840;74,7;2.654;25,3;1.704;16,2
Bayern;12.409;10.119;81,5;2.290;18,5;1.565;12,6
Berlin;3.300;2.544;77,1;756;22,9;496;15,0
Brandenburg;2.456;2.351;95,7;105;4,3;77;3,1
Bremen;651;476;73,1;175;26,9;119;18,3
Hamburg;1.711;1.264;73,9;447;26,1;299;17,5
Hessen;5.979;4.455;74,5;1.524;25,5;1.003;16,8
Mecklenburg-Vorpommern;1.610;1.544;95,9;66;4,1;52;3,2
Niedersachsen;7.778;6.511;83,7;1.268;16,3;853;11,0
Nordrhein-Westfalen;17.541;13.508;77,0;4.032;23,0;2.568;14,6
Rheinland-Pfalz;3.991;3.259;81,7;732;18,3;495;12,4
Saarland;999;837;83,8;162;16,2;107;10,7
Sachsen;4.057;3.892;95,9;165;4,1;123;3,0
Sachsen-Anhalt;2.286;2.199;96,2;86;3,8;66;2,9
Schleswig-Holstein;2.800;2.482;88,6;319;11,4;219;7,8
Thüringen;2.187;2.112;96,6;76;3,5;61;2,8
Deutschland;80.249;65.393;81,5;14.856;18,5;9.807;12,2
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2011 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.138;3.823;74,4;1.316;25,6;818;15,9
Bayern;6.071;4.935;81,3;1.136;18,7;757;12,5
Berlin;1.604;1.221;76,1;382;23,8;242;15,1
Brandenburg;1.208;1.158;95,9;51;4,2;36;3,0
Bremen;316;228;72,2;89;28,2;58;18,4
Hamburg;828;606;73,2;222;26,8;148;17,9
Hessen;2.918;2.167;74,3;751;25,7;479;16,4
Mecklenburg-Vorpommern;793;758;95,6;35;4,4;26;3,3
Niedersachsen;3.804;3.171;83,4;633;16,6;413;10,9
Nordrhein-Westfalen;8.521;6.507;76,4;2.013;23,6;1.250;14,7
Rheinland-Pfalz;1.951;1.583;81,1;368;18,9;239;12,3
Saarland;485;403;83,1;82;16,9;53;10,9
Sachsen;1.978;1.893;95,7;85;4,3;63;3,2
Sachsen-Anhalt;1.116;1.071;96,0;45;4,0;34;3,0
Schleswig-Holstein;1.361;1.205;88,5;156;11,5;105;7,7
Thüringen;1.076;1.039;96,6;37;3,4;30;2,8
Deutschland;39.169;31.768;81,1;7.401;18,9;4.750;12,1
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2011 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.356;4.017;75,0;1.338;25,0;887;16,6
Bayern;6.339;5.184;81,8;1.154;18,2;808;12,7
Berlin;1.696;1.323;78,0;373;22,0;255;15,0
Brandenburg;1.248;1.193;95,6;54;4,3;41;3,3
Bremen;335;248;74,0;86;25,7;61;18,2
Hamburg;883;658;74,5;225;25,5;151;17,1
Hessen;3.061;2.288;74,7;773;25,3;524;17,1
Mecklenburg-Vorpommern;817;786;96,2;31;3,8;26;3,2
Niedersachsen;3.974;3.339;84,0;635;16,0;439;11,0
Nordrhein-Westfalen;9.020;7.001;77,6;2.019;22,4;1.317;14,6
Rheinland-Pfalz;2.039;1.676;82,2;364;17,9;256;12,6
Saarland;514;434;84,4;80;15,6;54;10,5
Sachsen;2.079;1.999;96,2;80;3,8;60;2,9
Sachsen-Anhalt;1.169;1.128;96,5;41;3,5;32;2,7
Schleswig-Holstein;1.439;1.277;88,7;162;11,3;115;8,0
Thüringen;1.112;1.073;96,5;39;3,5;31;2,8
Deutschland;41.080;33.625;81,9;7.455;18,1;5.056;12,3
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
