Jahr;Bundesland;Einwohner *1.000;mit Migrationshintergrund;Anteil in Prozent
2011;Baden-Württemberg;10.494;2.654;25,3
2011;Bayern;12.409;2.290;18,5
2011;Berlin;3.300;756;22,9
2011;Brandenburg;2.456;105;4,3
2011;Bremen;651;175;26,9
2011;Hamburg;1.711;447;26,1
2011;Hessen;5.979;1.524;25,5
2011;Mecklenburg-Vorpommern;1.610;66;4,1
2011;Niedersachsen;7.778;1.268;16,3
2011;Nordrhein-Westfalen;17.541;4.032;23,0
2011;Rheinland-Pfalz;3.991;732;18,3
2011;Saarland;999;162;16,2
2011;Sachsen;4.057;165;4,1
2011;Sachsen-Anhalt;2.286;86;3,8
2011;Schleswig-Holstein;2.800;319;11,4
2011;Thüringen;2.187;76;3,5
2012;Baden-Württemberg;10.541;2.737;26,0
2012;Bayern;12.480;2.368;19,0
2012;Berlin;3.348;813;24,3
2012;Brandenburg;2.451;118;4,8
2012;Bremen;653;182;27,9
2012;Hamburg;1.726;463;26,8
2012;Hessen;6.005;1.572;26,2
2012;Mecklenburg-Vorpommern;1.603;66;4,1
2012;Niedersachsen;7.778;1.299;16,7
2012;Nordrhein-Westfalen;17.547;4.129;23,5
2012;Rheinland-Pfalz;3.990;755;18,9
2012;Saarland;996;165;16,6
2012;Sachsen;4.049;166;4,1
2012;Sachsen-Anhalt;2.267;89;3,9
2012;Schleswig-Holstein;2.804;332;11,8
2012;Thüringen;2.175;82;3,8
2013;Baden-Württemberg;10.599;2.831;26,7
2013;Bayern;12.556;2.489;19,8
2013;Berlin;3.396;865;25,5
2013;Brandenburg;2.448;118;4,8
2013;Bremen;655;179;27,3
2013;Hamburg;1.743;484;27,8
2013;Hessen;6.028;1.621;26,9
2013;Mecklenburg-Vorpommern;1.598;69;4,3
2013;Niedersachsen;7.784;1.346;17,3
2013;Nordrhein-Westfalen;17.553;4.272;24,3
2013;Rheinland-Pfalz;3.991;791;19,8
2013;Saarland;992;166;16,7
2013;Sachsen;4.044;177;4,4
2013;Sachsen-Anhalt;2.250;94;4,2
2013;Schleswig-Holstein;2.810;334;11,9
2013;Thüringen;2.164;84;3,9
2014;Baden-Württemberg;10.666;2.893;27,1
2014;Bayern;12.643;2.580;20,4
2014;Berlin;3.443;911;26,5
2014;Brandenburg;2.449;127;5,2
2014;Bremen;659;189;28,7
2014;Hamburg;1.762;497;28,2
2014;Hessen;6.059;1.675;27,6
2014;Mecklenburg-Vorpommern;1.594;68;4,3
2014;Niedersachsen;7.799;1.357;17,4
2014;Nordrhein-Westfalen;17.579;4.358;24,8
2014;Rheinland-Pfalz;3.996;810;20,3
2014;Saarland;989;174;17,6
2014;Sachsen;4.045;204;5,0
2014;Sachsen-Anhalt;2.238;99;4,4
2014;Schleswig-Holstein;2.819;357;12,7
2014;Thüringen;2.156;94;4,4
2015;Baden-Württemberg;10.766;3.015;28,0
2015;Bayern;12.735;2.718;21,3
2015;Berlin;3.486;967;27,7
2015;Brandenburg;2.464;145;5,9
2015;Bremen;663;195;29,4
2015;Hamburg;1.773;510;28,8
2015;Hessen;6.115;1.735;28,4
2015;Mecklenburg-Vorpommern;1.601;78;4,9
2015;Niedersachsen;7.850;1.400;17,8
