Bevölkerung*) insgesamt im Bundesländervergleich 2013 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.599;7.768;73,3;2.831;26,7;1.815;17,1
Bayern;12.556;10.067;80,2;2.489;19,8;1.692;13,5
Berlin;3.396;2.531;74,5;865;25,5;567;16,7
Brandenburg;2.448;2.330;95,2;118;4,8;86;3,5
Bremen;655;476;72,7;179;27,3;122;18,6
Hamburg;1.743;1.259;72,2;484;27,8;326;18,7
Hessen;6.028;4.407;73,1;1.621;26,9;1.052;17,5
Mecklenburg-Vorpommern;1.598;1.529;95,7;69;4,3;55;3,4
Niedersachsen;7.784;6.438;82,7;1.346;17,3;909;11,7
Nordrhein-Westfalen;17.553;13.281;75,7;4.272;24,3;2.695;15,4
Rheinland-Pfalz;3.991;3.200;80,2;791;19,8;528;13,2
Saarland;992;826;83,3;166;16,7;110;11,1
Sachsen;4.044;3.867;95,6;177;4,4;137;3,4
Sachsen-Anhalt;2.250;2.156;95,8;94;4,2;74;3,3
Schleswig-Holstein;2.810;2.476;88,1;334;11,9;230;8,2
Thüringen;2.164;2.080;96,1;84;3,9;66;3,0
Deutschland;80.611;64.692;80,3;15.919;19,7;10.465;13,0
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2013 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.210;3.796;72,9;1.414;27,1;885;17,0
Bayern;6.169;4.923;79,8;1.246;20,2;825;13,4
Berlin;1.656;1.220;73,7;436;26,3;279;16,8
Brandenburg;1.205;1.148;95,3;57;4,7;40;3,3
Bremen;320;228;71,3;92;28,8;62;19,4
Hamburg;847;601;71,0;246;29,0;164;19,4
Hessen;2.952;2.142;72,6;810;27,4;515;17,4
Mecklenburg-Vorpommern;787;751;95,4;36;4,6;28;3,6
Niedersachsen;3.813;3.134;82,2;679;17,8;450;11,8
Nordrhein-Westfalen;8.546;6.402;74,9;2.144;25,1;1.315;15,4
Rheinland-Pfalz;1.956;1.561;79,8;395;20,2;253;12,9
Saarland;483;400;82,8;83;17,2;54;11,2
Sachsen;1.977;1.886;95,4;91;4,6;71;3,6
Sachsen-Anhalt;1.101;1.052;95,5;49;4,5;38;3,5
Schleswig-Holstein;1.368;1.205;88,1;163;11,9;108;7,9
Thüringen;1.065;1.023;96,1;42;3,9;34;3,2
Deutschland;39.454;31.470;79,8;7.984;20,2;5.122;13,0
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2013 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.388;3.972;73,7;1.416;26,3;930;17,3
Bayern;6.388;5.145;80,5;1.243;19,5;867;13,6
Berlin;1.740;1.310;75,3;430;24,7;288;16,6
Brandenburg;1.243;1.182;95,1;61;4,9;47;3,8
Bremen;335;248;74,0;87;26,0;60;17,9
Hamburg;896;658;73,4;238;26,6;162;18,1
Hessen;3.077;2.266;73,6;811;26,4;537;17,5
Mecklenburg-Vorpommern;811;778;95,9;33;4,1;27;3,3
Niedersachsen;3.971;3.304;83,2;667;16,8;459;11,6
Nordrhein-Westfalen;9.007;6.880;76,4;2.127;23,6;1.379;15,3
Rheinland-Pfalz;2.035;1.640;80,6;395;19,4;275;13,5
Saarland;509;426;83,7;83;16,3;55;10,8
Sachsen;2.067;1.981;95,8;86;4,2;66;3,2
Sachsen-Anhalt;1.149;1.104;96,1;45;3,9;36;3,1
Schleswig-Holstein;1.441;1.270;88,1;171;11,9;122;8,5
Thüringen;1.099;1.057;96,2;42;3,8;32;2,9
Deutschland;41.157;33.222;80,7;7.935;19,3;5.343;13,0
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
