Bevölkerung*) insgesamt im Bundesländervergleich 2016 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.935;7.683;70,3;3.251;29,7;2.172;19,9
Bayern;12.892;9.936;77,1;2.956;22,9;2.081;16,1
Berlin;3.537;2.546;72,0;991;28,0;691;19,5
Brandenburg;2.490;2.328;93,5;162;6,5;124;5,0
Bremen;673;469;69,7;205;30,5;144;21,4
Hamburg;1.794;1.256;70,0;538;30,0;374;20,8
Hessen;6.202;4.332;69,8;1.870;30,2;1.257;20,3
Mecklenburg-Vorpommern;1.614;1.512;93,7;102;6,3;86;5,3
Niedersachsen;7.952;6.395;80,4;1.557;19,6;1.091;13,7
Nordrhein-Westfalen;17.911;13.038;72,8;4.873;27,2;3.213;17,9
Rheinland-Pfalz;4.064;3.144;77,4;920;22,6;630;15,5
Saarland;996;797;80,0;199;20,0;132;13,3
Sachsen;4.088;3.821;93,5;267;6,5;212;5,2
Sachsen-Anhalt;2.242;2.101;93,7;140;6,2;122;5,4
Schleswig-Holstein;2.866;2.452;85,6;414;14,4;300;10,5
Thüringen;2.169;2.038;94,0;131;6,0;108;5,0
Deutschland;82.425;63.848;77,5;18.576;22,5;12.738;15,5
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2016 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.429;3.760;69,3;1.668;30,7;1.092;20,1
Bayern;6.384;4.880;76,4;1.504;23,6;1.044;16,4
Berlin;1.737;1.236;71,2;501;28,8;349;20,1
Brandenburg;1.232;1.147;93,1;85;6,9;66;5,4
Bremen;332;226;68,1;107;32,2;75;22,6
Hamburg;877;599;68,3;278;31,7;192;21,9
Hessen;3.064;2.109;68,8;955;31,2;632;20,6
Mecklenburg-Vorpommern;799;740;92,6;59;7,4;50;6,3
Niedersachsen;3.932;3.121;79,4;811;20,6;561;14,3
Nordrhein-Westfalen;8.800;6.299;71,6;2.501;28,4;1.619;18,4
Rheinland-Pfalz;2.007;1.535;76,5;472;23,5;316;15,7
Saarland;489;383;78,3;106;21,7;69;14,1
Sachsen;2.015;1.868;92,7;147;7,3;120;6,0
Sachsen-Anhalt;1.106;1.025;92,7;81;7,3;71;6,4
Schleswig-Holstein;1.404;1.194;85,0;210;15,0;152;10,8
Thüringen;1.075;1.001;93,1;74;6,9;60;5,6
Deutschland;40.683;31.124;76,5;9.559;23,5;6.467;15,9
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2016 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.506;3.923;71,2;1.583;28,8;1.079;19,6
Bayern;6.509;5.057;77,7;1.452;22,3;1.036;15,9
Berlin;1.801;1.310;72,7;490;27,2;342;19,0
Brandenburg;1.259;1.181;93,8;77;6,1;58;4,6
Bremen;341;243;71,3;98;28,7;69;20,2
Hamburg;917;657;71,6;260;28,4;182;19,8
Hessen;3.138;2.222;70,8;916;29,2;626;19,9
Mecklenburg-Vorpommern;815;772;94,7;43;5,3;36;4,4
Niedersachsen;4.020;3.274;81,4;746;18,6;530;13,2
Nordrhein-Westfalen;9.111;6.738;74,0;2.372;26,0;1.594;17,5
Rheinland-Pfalz;2.057;1.609;78,2;448;21,8;314;15,3
Saarland;506;414;81,8;93;18,4;63;12,5
Sachsen;2.072;1.953;94,3;120;5,8;92;4,4
Sachsen-Anhalt;1.136;1.077;94,8;59;5,2;51;4,5
Schleswig-Holstein;1.462;1.258;86,0;204;14,0;148;10,1
Thüringen;1.094;1.036;94,7;57;5,2;48;4,4
Deutschland;41.742;32.725;78,4;9.018;21,6;6.271;15,0
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
